2015-01-18T00:05:34: Launching bolt session for c:\users\ahankendi\documents\visual studio 2013\projects\pageguidemvc\.pageguidemvc.boltdata - SessionId: 363e9762-56f1-4560-9ec2-56965250a259
2015-01-18T00:05:36: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:49:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:49:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:49:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:49:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:50:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:50:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:50:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:50:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:51:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:51:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:51:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:51:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:52:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:52:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:52:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:52:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:53:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:53:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:53:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:53:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:54:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:54:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:54:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:54:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:55:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:55:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:55:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:55:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:56:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:56:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:56:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:56:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
